# Ralph CLI Trend Export
# Exported: 2026-01-14T12:53:05.796Z
# Period: 30d
# Filters: {"prd":"all","metrics":"all"}

# Success Rate Summary
Total Runs,113
Total Passed,101
Total Failed,12
Overall Success Rate,89%

# Success Rate Daily Data
Date,Success Rate (%),Passed,Failed,Total
2026-01-14,89,101,12,113

# Cost Summary
Total Cost,$0.1020
Total Runs,78
Total Stories,10
Avg Cost per Run,$0.0013
Avg Cost per Story,$0.0102

# Cost by Model
Model,Cost,Runs
None,$0.0000,33
codex,$0.0000,5
unknown,$0.0438,22
sonnet,$0.0390,17
opus,$0.0191,1

# Cost Daily Data
Date,Cost,Cumulative Cost,Runs,Stories,Cost per Story
2026-01-14,$0.0582,$0.0582,55,8,$0.0073
2026-01-14 00:02:04,$0.0028,$0.0610,1,0,$0.0000
2026-01-14 00:05:13,$0.0000,$0.0610,1,1,$0.0000
2026-01-14 00:12:16,$0.0020,$0.0629,1,1,$0.0020
2026-01-14 00:20:25,$0.0024,$0.0654,1,1,$0.0024
2026-01-14 00:25:18,$0.0024,$0.0677,1,1,$0.0024
2026-01-14 00:33:10,$0.0000,$0.0677,1,1,$0.0000
2026-01-14 00:38:49,$0.0000,$0.0677,1,1,$0.0000
2026-01-14 00:46:43,$0.0000,$0.0677,1,1,$0.0000
2026-01-14 00:55:53,$0.0034,$0.0711,1,1,$0.0034
2026-01-14 01:05:22,$0.0032,$0.0743,1,1,$0.0032
2026-01-14 01:14:27,$0.0022,$0.0765,1,1,$0.0022
2026-01-14 10:17:55,$0.0099,$0.0864,5,0,$0.0000
2026-01-14 13:17:04,$0.0027,$0.0892,1,0,$0.0000
2026-01-14 13:21:11,$0.0021,$0.0913,1,0,$0.0000
2026-01-14 13:50:14,$0.0025,$0.0938,1,0,$0.0000
2026-01-14 16:05:36,$0.0024,$0.0961,1,1,$0.0024
2026-01-14 16:08:42,$0.0019,$0.0980,1,1,$0.0019
2026-01-14 16:13:27,$0.0024,$0.1004,1,1,$0.0024
2026-01-14 16:21:03,$0.0015,$0.1020,1,1,$0.0015

# Velocity Summary
Total Stories,50
Total Runs,83
Stories per Day,50
Stories per Week,350
Avg Time per Story,8.2 min

# Velocity Daily Data
Date,Stories Completed,Cumulative Stories,Avg Duration (min)
2026-01-14,50,50,5
